Country,Site,n,Embedded Propaganda,Attributed,Un-Attributed,Re-Attributed,% Embedded Propaganda,% Attributed,% Un-Attributed,% Re-Attributed
Uganda,independent.co.ug,7402,535,527,1,7,0.07227776276681978,0.9850467289719627,0.001869158878504673,0.013084112149532711
Uganda,redpepper.co.ug,2257,4,0,0,4,0.0017722640673460345,0.0,0.0,1.0
Uganda,dailyexpress.co.ug,2865,5,4,0,1,0.0017452006980802793,0.8,0.0,0.2
Kenya,kbc.co.ke,562,1,0,1,0,0.0017793594306049821,0.0,1.0,0.0
Kenya,standardmedia.co.ke,19285,126,20,106,0,0.006533575317604356,0.15873015873015872,0.8412698412698413,0.0
Kenya,nairobiwire.com,2781,2,0,2,0,0.000719165767709457,0.0,1.0,0.0
Kenya,capitalfm.co.ke,10537,19,19,0,0,0.0018031697826705894,1.0,0.0,0.0
Kenya,k24tv.co.ke,5495,1,0,0,1,0.00018198362147406734,0.0,0.0,1.0
Kenya,the-star.co.ke,22661,4,3,0,1,0.00017651471691452274,0.75,0.0,0.25
Kenya,theeastafrican.co.ke,328,1,0,1,0,0.003048780487804878,0.0,1.0,0.0
Ghana,newsghana.com.gh,37836,602,600,0,2,0.015910772808965006,0.9966777408637874,0.0,0.0033222591362126247
Ghana,ghanaiantimes.com.gh,8985,34,1,33,0,0.0037840845854201447,0.029411764705882353,0.9705882352941176,0.0
Ghana,myinfo.com.gh,73067,6,0,6,0,8.211641370249224e-05,0.0,1.0,0.0
Ghana,dailyguidenetwork.com,10256,5,0,5,0,0.0004875195007800312,0.0,1.0,0.0
Ghana,thechronicle.com.gh,4302,4,2,2,0,0.0009298000929800093,0.5,0.5,0.0
Ghana,browngh.com,12162,1,0,1,0,8.2223318533136e-05,0.0,1.0,0.0
Ghana,publicagendagh.com,258,1,0,1,0,0.003875968992248062,0.0,1.0,0.0
Ghana,modernghana.com,17213,8,0,8,0,0.0004647650031952594,0.0,1.0,0.0
