,target_url,target_date,target_site,target_attributions,source_0,source_0_date,source_0_site,source_0_overlap,source_0_attributions,source_1,source_1_date,source_1_site,source_1_overlap,source_1_attributions,source_2,source_2_date,source_2_site,source_2_overlap,source_2_attributions,source_3,source_3_date,source_3_site,source_3_overlap,source_3_attributions,source_4,source_4_date,source_4_site,source_4_overlap,source_4_attributions,classification
1,https://www.kbc.co.ke/news/international-news/article/33321/xi-biden-hold-candid-in-depth-exchange-of-views-on-bilateral-ties-major-global-issues,2022-11-15,kbc.co.ke,,http://www.chinadaily.com.cn/a/202211/14/WS63725170a310491754329a49.html,2022-11-14,chinadaily.com.cn,0.7931034482758621,Xinhua,http://www.ecns.cn/news/2022-11-15/detail-ihcfwzyq0201788.shtml,2022-11-15,ecns.cn,0.8275862068965517,Xinhua,http://en.people.cn/n3/2022/1115/c90000-10171065.html,2022-11-15,en.people.cn,0.7931034482758621,Xinhua,https://www.chinadaily.com.cn/a/202211/14/WS63725170a310491754329a49.html,2022-11-14,chinadaily.com.cn,0.7931034482758621,Xinhua,,,,,,unattributed
2,https://www.standardmedia.co.ke/article/2001458688/chinese-modernization-written-into-key-cpc-congress-report,2022-07-02,standardmedia.co.ke,Xinhua,http://www.ecns.cn/news/politics/2022-10-19/detail-ihcfacfv5463471.shtml,2022-10-19,ecns.cn,0.7931034482758621,Xinhua,http://en.people.cn/n3/2022/1019/c90000-10160706.html,2022-10-19,en.people.cn,0.8275862068965517,Xinhua,,,,,,,,,,,,,,,,state-media
3,https://nairobiwire.com/2022/06/president-kenyatta-unveils-nationwide-airborne-geophysical-survey.html,2022-06-22,nairobiwire.com,,https://africa.cgtn.com/2022/06/22/kenyan-president-unveils-final-report-of-nationwide-airborne-geophysical-survey,2022-06-22,africa.cgtn.com,0.5,,,,,,,,,,,,,,,,,,,,,,unattributed
4,https://www.standardmedia.co.ke/sports/football/article/2001458072/europa-league-mctominay-rescues-man-united-with-93rd-minute-winner-vs-omonia,2022-10-14,standardmedia.co.ke,,http://www.chinadaily.com.cn/a/202210/14/WS6348b72fa310fd2b29e7c65a.html,2022-10-14,chinadaily.com.cn,0.5454545454545454,,https://www.chinadaily.com.cn/a/202210/14/WS6348b72fa310fd2b29e7c65a.html,2022-10-14,chinadaily.com.cn,0.5454545454545454,,,,,,,,,,,,,,,,,unattributed
6,https://www.standardmedia.co.ke/sports/africa/article/2001458550/uganda-to-deploy-ebola-vaccine-in-two-weeks-says-who-official,2022-10-20,standardmedia.co.ke,,https://africa.cgtn.com/2022/10/19/uganda-to-deploy-ebola-vaccine-in-2-weeks-says-who-official,2022-10-19,africa.cgtn.com,0.7142857142857143,,,,,,,,,,,,,,,,,,,,,,unattributed
8,https://www.standardmedia.co.ke/sports/branding-voice/article/2001457523/foreign-officials-experts-wish-20th-cpc-national-congress-success-during-celebrations-of-chinas-national-day,2022-10-07,standardmedia.co.ke,,http://en.people.cn/n3/2022/1003/c90000-10154540.html,2022-10-03,en.people.cn,0.8571428571428571,Xinhua,http://www.ecns.cn/news/2022-10-03/detail-ihcepfvq8476728.shtml,2022-10-03,ecns.cn,0.7142857142857143,Xinhua,,,,,,,,,,,,,,,,unattributed
9,https://www.standardmedia.co.ke/testbed/article/2001459108/profile-xi-jinping-leads-china-on-new-journey,2022-10-23,standardmedia.co.ke,Xinhua,http://en.people.cn/n3/2022/1025/c90000-10162944.html,2022-10-25,en.people.cn,0.8105263157894737,Xinhua,https://english.news.cn/20221025/97bce6c7614242f5a6e0c3ecf5e837ee/c.html,2022-10-25,english.news.cn,0.8105263157894737,Xinhua,https://www.chinadaily.com.cn/a/202210/25/WS63573222a310fd2b29e7e505.html,2022-10-25,chinadaily.com.cn,0.7684210526315789,Xinhua,http://www.chinadaily.com.cn/a/202210/25/WS63573222a310fd2b29e7e505.html,2022-10-25,chinadaily.com.cn,0.7684210526315789,Xinhua,https://english.news.cn/20221025/385587f560a74705b6a7eb6db49c7f41/c.html,2022-10-25,english.news.cn,0.8105263157894737,Xinhua,state-media
10,https://www.standardmedia.co.ke/testbed/sports/branding-voice/article/2001460388/xi-addresses-ciie-calls-for-joint-efforts-for-bright-future-of-openness-prosperity,2022-11-11,standardmedia.co.ke,,http://en.people.cn/n3/2022/1105/c90000-10167597.html,2022-11-05,en.people.cn,0.8461538461538461,Xinhua,https://english.news.cn/20221105/552150cb74d44de786e78b502158b5b7/c.html,2022-11-05,english.news.cn,0.8461538461538461,Xinhua,,,,,,,,,,,,,,,,unattributed
11,https://www.standardmedia.co.ke/testbed/sports/branding-voice/article/2001458688/chinese-modernization-written-into-key-cpc-congress-report,2022-10-21,standardmedia.co.ke,,http://www.ecns.cn/news/politics/2022-10-19/detail-ihcfacfv5463471.shtml,2022-10-19,ecns.cn,0.8518518518518519,Xinhua,http://en.people.cn/n3/2022/1019/c90000-10160706.html,2022-10-19,en.people.cn,0.8888888888888888,Xinhua,,,,,,,,,,,,,,,,unattributed
12,https://www.capitalfm.co.ke/news/2022/10/xi-jinping-expresses-confidence-in-creating-new-greater-miracles-as-key-party-congress-concludes,2022-10-23,capitalfm.co.ke,CGTN,http://en.people.cn/n3/2022/1023/c90000-10162218.html,2022-10-23,en.people.cn,0.6176470588235294,Xinhua,,,,,,,,,,,,,,,,,,,,,state-media
